repo_id	clone_url	mirror_path	archive_path	reference_count	sample_sources
seqkit_stats/seqkit_stats	https://github.com/seqkit_stats/seqkit_stats.git	science/docs/upstream/github-repos/mirrors/seqkit_stats/seqkit_stats.git	science/docs/upstream/github-repos/archives/seqkit_stats--seqkit_stats.tar.gz	1	configs/ci/registry/tool_registry.toml
shenwei356/seqkit	https://github.com/shenwei356/seqkit.git	science/docs/upstream/github-repos/mirrors/shenwei356/seqkit.git	science/docs/upstream/github-repos/archives/shenwei356--seqkit.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/seqkit.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
smithlabcode/preseq	https://github.com/smithlabcode/preseq.git	science/docs/upstream/github-repos/mirrors/smithlabcode/preseq.git	science/docs/upstream/github-repos/archives/smithlabcode--preseq.tar.gz	2	docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/preseq.yaml
statgen/bamUtil	https://github.com/statgen/bamUtil.git	science/docs/upstream/github-repos/mirrors/statgen/bamUtil.git	science/docs/upstream/github-repos/archives/statgen--bamUtil.tar.gz	2	docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/bamutil.yaml
statgen/fastQValidator	https://github.com/statgen/fastQValidator.git	science/docs/upstream/github-repos/mirrors/statgen/fastQValidator.git	science/docs/upstream/github-repos/archives/statgen--fastQValidator.tar.gz	6	configs/ci/registry/tool_registry.toml;docs/20-science/TOOL_INDEX.md;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/fastqvalidator.yaml;science/docs/TODO_DOWNLOAD.md
telatin/seqfu2	https://github.com/telatin/seqfu2.git	science/docs/upstream/github-repos/mirrors/telatin/seqfu2.git	science/docs/upstream/github-repos/archives/telatin--seqfu2.tar.gz	4	docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/seqfu.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
torognes/vsearch	https://github.com/torognes/vsearch.git	science/docs/upstream/github-repos/mirrors/torognes/vsearch.git	science/docs/upstream/github-repos/archives/torognes--vsearch.tar.gz	3	docs/30-operations/CONTAINER_LICENSE_INDEX.md;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
umi_tools/umi_tools	https://github.com/umi_tools/umi_tools.git	science/docs/upstream/github-repos/mirrors/umi_tools/umi_tools.git	science/docs/upstream/github-repos/archives/umi_tools--umi_tools.tar.gz	1	configs/ci/registry/tool_registry.toml
uwb-linux/prinseq	https://github.com/uwb-linux/prinseq.git	science/docs/upstream/github-repos/mirrors/uwb-linux/prinseq.git	science/docs/upstream/github-repos/archives/uwb-linux--prinseq.tar.gz	1	docs/30-operations/CONTAINER_LICENSE_INDEX.md
vsearch/vsearch	https://github.com/vsearch/vsearch.git	science/docs/upstream/github-repos/mirrors/vsearch/vsearch.git	science/docs/upstream/github-repos/archives/vsearch--vsearch.tar.gz	1	configs/ci/registry/tool_registry.toml
xflouris/PEAR	https://github.com/xflouris/PEAR.git	science/docs/upstream/github-repos/mirrors/xflouris/PEAR.git	science/docs/upstream/github-repos/archives/xflouris--PEAR.tar.gz	1	configs/ci/registry/tool_registry.toml
RAHenriksen/ngsBriggs	https://github.com/RAHenriksen/ngsBriggs.git	science/docs/upstream/github-repos/mirrors/RAHenriksen/ngsBriggs.git	science/docs/upstream/github-repos/archives/RAHenriksen--ngsBriggs.tar.gz	1	domain/bam/tools/ngsbriggs.yaml
